# omastoic quote book — tab-separated: author-slug <TAB> citation <TAB> text
#
# Every line is from a public-domain translation, cited by book and section so it
# can be checked. Translators: Meditations — George Long (1862). Epictetus —
# George Long (1877) and Elizabeth Carter (1758). Seneca's Letters — Richard M.
# Gummere (1917–25); the dialogues — John W. Basore (1928–35). Diogenes Laertius
# — C. D. Yonge (1853). Internet favourites with no source behind them are left
# out on purpose, however well they scan.
#
# Lines starting with # are ignored. Keep a quote under about 260 characters —
# longer than that and it stops fitting beside the portrait on a small screen.

marcus	Meditations II.5	Perform every act of thy life as if it were thy last.
marcus	Meditations II.11	Do not act as if thou wert going to live ten thousand years. Death hangs over thee. While thou livest, while it is in thy power, be good.
marcus	Meditations IV.3	Men seek retreats for themselves, houses in the country, sea-shores and mountains. But it is in thy power whenever thou shalt choose to retire into thyself.
marcus	Meditations IV.7	Take away thy opinion, and then there is taken away the complaint, ‘I have been harmed.’ Take away the complaint, and the harm is taken away.
marcus	Meditations IV.24	Occupy thyself with few things, says the philosopher, if thou wouldst be tranquil.
marcus	Meditations V.16	Such as are thy habitual thoughts, such also will be the character of thy mind; for the soul is dyed by the thoughts.
marcus	Meditations V.20	That which is a hindrance to action is turned to promote action, and that which is an obstacle on the road helps us on this road.
marcus	Meditations VI.6	The best way of avenging thyself is not to become like the wrong-doer.
marcus	Meditations VII.59	Look within. Within is the fountain of good, and it will ever bubble up, if thou wilt ever dig.
marcus	Meditations VIII.47	If thou art pained by any external thing, it is not this that disturbs thee, but thy own judgment about it. And it is in thy power to wipe out this judgment now.
marcus	Meditations IX.6	Thy present opinion founded on understanding, and thy present conduct directed to social good, and thy present disposition of contentment with everything which happens — that is enough.
marcus	Meditations X.16	No longer talk at all about the kind of man that a good man ought to be, but be such.
marcus	Meditations XII.17	If it is not right, do not do it: if it is not true, do not say it.
marcus	Meditations VI.2	Let it make no difference to thee whether thou art cold or warm, if thou art doing thy duty.
marcus	Meditations III.10	Remember that man lives only in the present, in this fleeting instant: all the rest of his life is either past and gone, or not yet revealed.
marcus	Meditations VIII.36	Do not disturb thyself by thinking of the whole of thy life. Let not thy thoughts at once embrace all the various troubles which thou mayest expect to befall thee.
marcus	Meditations II.1	Begin the morning by saying to thyself, I shall meet with the busy-body, the ungrateful, arrogant, deceitful, envious, unsocial. All these things happen to them by reason of their ignorance of what is good and evil.
marcus	Meditations VII.22	It is a man's peculiar duty to love even those who wrong him.

seneca	Letters 13.4	There are more things likely to frighten us than there are to crush us; we suffer more often in imagination than in reality.
